"Name","Address","Website","Description","Type","Cuisine","Hours","Price Range"
"Studio Brewing","5792 Beresford St, Burnaby, BC V5J 1J1","studiobrewing.ca","Newer Burnaby brewery with a sleek ‘art studio’ vibe. Known for crisp lagers, West Coast IPAs, and mixed-fermentation sours. Local favorite for craft and community.","Craft Brewery & Tasting Room","N/A","Tue–Thu 3:00 PM–9:00 PM; Fri 3:00–10:00 PM; Sat 12:00–10:00 PM; Sun 12:00–8:00 PM","$ (pints ~$6)"
"My Greek Taverna","946 Brunette Ave, Coquitlam, BC V3K 1C9","N/A","Local institution with large portions of Greek classics (souvlaki, moussaka), tavern-like atmosphere, and rave reviews for value and authenticity.","Casual Family Restaurant","Greek","Tue–Sun 11:00 AM–10:00 PM; closed Mon","$$ (~$20 souvlaki plate)"
"Pizza Town (Indian Cuisine)","501 North Rd #A, Coquitlam, BC V3J 1N7","pizzatownbc.ca","Surprising hidden gem offering both pizza and a full Indian menu. Known for rich curries (butter chicken, biryani), friendly owners, and great value.","Casual (Takeout-focused)","Indian (and Pizza)","Daily 11:00 AM–10:00 PM","$$ (curries ~$14, large pizza ~$20)"
"The Golden Boot","1028 Ridgeway Ave, Coquitlam, BC V3J 1S5","thegoldenboot.com","Family-run Italian trattoria with homemade pastas (gnocchi al pesto), thin-crust pizzas, and friendly service. Cozy vibe and local favorite.","Casual Trattoria","Italian","Tue–Sun 5:00 PM–9:00 PM; closed Mon","$$ (pasta ~$18, mains ~$22)"
"Jimoco Café & Pasta","1046 Austin Ave, Coquitlam, BC V3K 3P3","N/A (social media)","Italian-Korean fusion pasta house famous for 2-for-1 deal. Wide variety (carbonara to kimchi spaghetti), big portions, lines at peak hours.","Casual Café/Restaurant","Italian (Pasta)","Mon–Sat 11:30 AM–9:00 PM; closed Sun","$ (2 pastas ~$22 total)"
"GoGo Chicken","555 North Rd #101, Coquitlam, BC V3J 1N8","gogochicken.ca","Top Korean fried chicken pick, double-fried for max crunch. Sauces include soy garlic, sweet & spicy. Mostly takeout but beloved for authentic K.F.C.","Takeout/Dine-in","Korean","Daily 11:00 AM–10:00 PM","$$ (half chicken ~$15, whole ~$28)"
"Bukchigo Jangguchigo","1301 Lougheed Hwy #201, Coquitlam, BC V3K 6P9","bukjang.com","Authentic Korean comfort spot famed for Gamjatang (pork bone soup) and bossam. Casual, no-frills, hearty dishes that warm the soul.","Casual Restaurant","Korean","Daily 11:00 AM–9:00 PM","$$ ($14–$18 soups/stews)"
"Legend House","116-3000 Burlington Dr, Coquitlam, BC V3B 0N2","legendeat.com","Northern Chinese cuisine emphasizing hand-pulled noodles and dumplings. Dan Dan noodles, xiao long bao, bold garlic-chili flavors, made fresh in open kitchen.","Casual Restaurant","Chinese (Shaanxi/Northern)","Daily 11:00 AM–9:30 PM","$$ (noodles ~$12, plates ~$15–$20)"
"Grand Seasons Restaurant","3025 Lougheed Hwy #630, Coquitlam, BC V3B 6S2","grandseasonscoquitlam.com","Busy Cantonese/HK-style eatery offering daytime dim sum and evening family-style dinners (chow mein, Peking duck). Consistent quality, welcoming vibe.","Casual Restaurant","Chinese (Cantonese/Dim Sum)","Daily 10:00 AM–3:00 PM (dim sum); 5:00 PM–10:00 PM (dinner)","$$ (dim sum ~$5, mains $15–$25)"
"Coquitlam Grill","108-2635 Barnet Hwy, Coquitlam, BC V3E 1K9","coquitlamgrill.com","Classic family diner for all-day breakfast and comfort food. Known for fluffy pancakes, omelettes, roasts, and quick, friendly service.","Family Restaurant / Diner","Canadian/American Diner","Daily 7:00 AM–10:00 PM","$ (entrees ~$10–$18)"
"Big Flat Pancake Co.","1194 Lansdowne Dr, Coquitlam, BC V3E 1J7","thebigflatpancakecompany.com","Cheerful breakfast spot specializing in Dutch-style pannekoek and fluffy buttermilk stacks with sweet or savory toppings. Unique alternative to standard brunch.","Café","Breakfast/Brunch (Pancakes)","Wed–Sun 8:00 AM–2:00 PM; closed Mon & Tue","$ (~$12–$15 pancakes)"
"Pizzeria Spacca Napoli","501 North Rd #203, Coquitlam, BC V3J 1N7","pizzeriaspaccanapoli.com","Authentic Neapolitan pizzeria with a wood-fired oven. Thin, blistered crusts using San Marzano tomatoes and fresh mozzarella. Lively Italian vibe.","Casual Restaurant","Italian (Neapolitan Pizza)","Tue–Sun 11:30 AM–9:30 PM; closed Mon","$$ (~$16–$20 per pizza)"
"John B Neighbourhood Pub","1000 Austin Ave, Coquitlam, BC V3K 3P1","johnbpub.com","Iconic local pub with 40+ years of history, huge whiskey selection, classic pub grub, live music. Lively community spot for good times and great drinks.","Pub/Bar","Pub Food","Mon–Thu 11:00 AM–12:00 AM; Fri–Sat 11:00 AM–1:00 AM; Sun 11:00 AM–12:00 AM","$$ (mains ~$15–$20)"
"Shio Japanese Kitchen","112-2957 Glen Dr, Coquitlam, BC V3B 0B5","shiojapaneserestaurant.ca","Izakaya-style eatery named best Sushi/Japanese in Coquitlam. Fresh sashimi, creative rolls (Volcano Roll), small plates, modern cozy vibe for date nights.","Restaurant/Izakaya","Japanese (Sushi & Izakaya)","Mon–Sat 11:30 AM–2:30 PM, 4:30 PM–9:30 PM; Sun 4:00 PM–9:00 PM","$$ (rolls ~$8–$14)"
"Ma Now Thai Kitchen","2755 Lougheed Hwy #33, Port Coquitlam, BC V3B 5Y9","manowthaikitchen.ca","Bright, modern Thai spot known for papaya salad, tom yum, pad thai, Panang curry. Customize spice levels, pretty presentation, popular in the Tri-Cities.","Casual Restaurant","Thai","Daily 11:30 AM–9:00 PM (closed 3–4:30 PM weekdays)","$$ (~$14–$18)"
"Pho Super Bowl","100-2991 Lougheed Hwy, Coquitlam, BC V3B 6J6","N/A","Tucked in Henderson Place Mall. Tasty, fragrant pho broth with assorted beef cuts, lemongrass chicken, vermicelli bowls, quick service and great value.","Casual Restaurant","Vietnamese","Daily 10:00 AM–8:00 PM","$ (pho ~$12)"
"Mariner Brewing","1100 Landsdowne Dr #2, Coquitlam, BC V3B 5E2","marinerbrewing.ca","Coquitlam’s first craft brewery, with a nautical theme, friendly tasting room, and rotating menu of IPAs, lagers, sours, plus board games and food pop-ups.","Craft Brewery & Tasting Room","N/A","Mon–Thu 2:00 PM–9:00 PM; Fri–Sat 12:00 PM–11:00 PM; Sun 12:00 PM–9:00 PM","$ (pint ~$6.50)"
